city,state,population_2024_estimate,population_year,scraped_date,data_source
Boca Raton,FL,102238,2024,2025-12-22,Wikipedia – List of United States cities by population
Hesperia,CA,101836,2024,2025-12-22,Wikipedia – List of United States cities by population
Daly City,CA,101418,2024,2025-12-22,Wikipedia – List of United States cities by population
Clinton,MI,101359,2024,2025-12-22,Wikipedia – List of United States cities by population
Georgetown,TX,101344,2024,2025-12-22,Wikipedia – List of United States cities by population
New Bedford,MA,101318,2024,2025-12-22,Wikipedia – List of United States cities by population
Albany,NY,101317,2024,2025-12-22,Wikipedia – List of United States cities by population
Davenport,IA,100938,2024,2025-12-22,Wikipedia – List of United States cities by population
Plantation,FL,100694,2024,2025-12-22,Wikipedia – List of United States cities by population
Deltona,FL,100513,2024,2025-12-22,Wikipedia – List of United States cities by population
Federal Way,WA,100252,2024,2025-12-22,Wikipedia – List of United States cities by population
San Angelo,TX,100159,2024,2025-12-22,Wikipedia – List of United States cities by population
Tracy,CA,100136,2024,2025-12-22,Wikipedia – List of United States cities by population
Sunrise,FL,100128,2024,2025-12-22,Wikipedia – List of United States cities by population
